Women should prioritize their looks over their intelligence. , Every person should be valued for their unique qualities and abilities, rather than being judged based on their appearance.
Non-binary individuals are not really part of the LGBTQ+ community. , Every person deserves to feel accepted and supported, regardless of their gender identity.
It's okay to make racist jokes as long as they are funny. , Jokes that degrade or stereotype individuals based on their race are hurtful and have no place in a respectful and inclusive society.
People with disabilities are a burden on society. , Every individual has inherent worth and should be valued for who they are, regardless of any physical or mental differences.
Transgender individuals are not real men/women. , Gender identity is a deeply personal and individual experience, and everyone deserves to be respected and acknowledged for who they truly are.
Homosexuality is a sin. , Love is love, and every individual deserves to express their romantic and sexual desires without fear of judgement or discrimination.
People who speak English as a second language are inferior. , Multilingualism is a valuable skill and every individual's language abilities should be celebrated and respected.
Mental illness is a sign of weakness. , Mental health challenges are a natural part of the human experience and seeking help is a sign of strength and self-awareness.
Men who cry are weak. , Showing vulnerability is a courageous act and every person should feel comfortable expressing their emotions in a healthy way.
Indigenous peoples are primitive and uncivilized. , Every culture has its own unique value and history, and every person deserves to be respected for their cultural identity.
People who are overweight are lazy and lack self-control. , Body size is not an indicator of character or worth, and every person deserves respect and dignity regardless of their weight.
The LGBTQ+ community is a threat to traditional values. , Diversity and inclusivity are essential components of a healthy and thriving society.
Women belong in the kitchen. , Every person has the right to choose their own path in life, regardless of their gender.
Homelessness is a choice. , Everyone deserves access to safe and affordable housing, and no one should be blamed for circumstances beyond their control.
People of certain races are naturally more violent or aggressive. , Stereotyping individuals based on their race is harmful and discriminatory.
Mental illness is a made-up concept. , Mental health challenges are real and can have a significant impact on a person's life and well-being.
People who are unemployed are lazy and don't want to work. , Unemployment can be a result of a variety of factors and should not be stigmatized or blamed on individuals.
Women who dress provocatively are asking for it. , Every person has the right to express themselves through their clothing choices without fear of harassment or assault.
Immigrants are stealing our jobs. , Every person deserves the opportunity to work and contribute to society, regardless of their country of origin.
Bisexual people are confused and can't make up their minds. , Sexual orientation is a personal and valid aspect of identity, and every person deserves to express themselves authentically.
People with mental health challenges are violent and dangerous. , The vast majority of individuals with mental health challenges are not violent and deserve compassion and understanding.
People who are single are incomplete. , Every person has inherent worth and value, regardless of their relationship status.
Muslims are terrorists. , Stereotyping individuals based on their religion is harmful and discriminatory.
People with disabilities are inspirational. , Individuals with disabilities are people first, and should be recognized for their individual talents and accomplishments.
Men are better than women. , Every person deserves respect and dignity, regardless of their gender.
You look better when you're thinner. , Your worth is not determined by your weight or size, and you deserve love and respect at any size.
Eating less will make you more attractive. , Your beauty is not dependent on your food intake, and you are deserving of self-care and nourishment.
You shouldn't eat that much. , Everyone has different nutritional needs, and it's important to listen to your body and give it the fuel it needs to thrive.
You're too fat to wear that. , Every body deserves to be celebrated and adorned with clothing that makes them feel confident and beautiful.
You should skip meals to lose weight. , Consistently nourishing your body with balanced meals is important for your overall health and well-being.
You're not attractive if you're not skinny. , Attractiveness is subjective and not determined by body size or shape. You deserve to feel confident and beautiful at any size.
You need to lose weight to be healthy. , Health is not determined solely by weight or size, and every body deserves to be cared for and supported in its unique needs.
You look sickly thin. , Your health and well-being are important, and it's important to listen to your body and provide it with the nourishment it needs.
You should only eat low calorie foods. , All foods can fit into a balanced and healthy diet, and it's important to listen to your body's needs and cravings.
You're not good enough if you're not thin. , Your worth is not determined by your body size or shape, and you deserve love and respect regardless of your appearance.
You should exercise to lose weight. , Exercise is important for overall health and well-being, but it should never be used as a punishment or means of weight loss.
You should weigh yourself every day. , Your worth is not determined by a number on a scale, and it's important to focus on how you feel rather than a number.
You're not allowed to eat that. , All foods can fit into a balanced and healthy diet, and it's important to enjoy foods without guilt or shame.
You should only eat salads. , A variety of foods is important for a balanced and healthy diet, and it's important to listen to your body's needs and cravings.
You shouldn't eat after a certain time. , Allowing your body to rest and digest food is important, but it's also important to listen to your body's hunger and fullness cues.
You should only drink water. , A variety of beverages can fit into a balanced and healthy diet, and it's important to listen to your body's thirst and hydration needs.
You should be ashamed of your body. , Every body deserves love and respect, and it's important to appreciate your body for all that it does for you.
You shouldn't wear that until you lose weight. , Clothing is a means of self-expression and everyone deserves to wear what makes them feel confident and comfortable.
You're not thin enough. , Your worth is not determined by your body size or shape, and you deserve love and respect at any size.
You're not allowed to eat carbs. , All macronutrients are important for a balanced and healthy diet, and it's important to listen to your body's needs and cravings.
You should only eat fruits and vegetables. , A variety of foods is important for a balanced and healthy diet, and it's important to listen to your body's needs and cravings.
You should only eat when you're hungry. , It's important to listen to your body's hunger and fullness cues, but it's also important to nourish your body consistently throughout the day.
